Words,Synonyms
Wrong,Incorrect
Unmarried,Single
Idea,ThoughtA
Total,Entire
Choose,Select
Writer,Author
Yearly,Annually
Look,Endless
Occur,Happen
Behave,Act
Old	,Ancient
Nearly,Almost
All,Every
Listen,Hear
Buy,Purchase
Hat,Cap
Uncommon,Unusual
Value,Worth
Job,Work
End,Finish
Allow,Every
Fast,Quick
Neat,Tidy
Quiet,Peaceful
Write,Record
Rich,Wealthy
Jungle,Forest
Walk,Stroll
Say,Tell
Help,Assist
Shop,Store
Fantastic,Great
House,Home
Pastime,Hobby
Extra,Additional
Rescue,Save
Dear,Expensive
Pause,Hesitate
Gather,Collect
Perform,Act
Encourage,Urge
Respect,Honor
Quiet,Peaceful
Write,Record
Quite,Pretty
Furious,Angry
Allay,Dispel
Pad,Protection
Paddy,Rice
Cardigan,sweater
Feckless,useless
Felicitous,Fortune
Felicity,bliss
Allay,Dispel
Altruistic,Humane
Obvious,Clear
Request,Beg
Shiver,Tremble
Effect,Result
Blaze,Fire
Bloom,Blossom
Pan,Pot
Torpid,lazy
Latest,Modern
Reality,Fact
Explore,Search
Vacant,empty
Courage,Bravery
last,end